;number;value;params_criterion;params_max_depth;params_min_samples_split;params_splitter;state
0;0;1.0;entropy;3;3;best;COMPLETE
1;1;1.0;entropy;2;10;random;COMPLETE
2;2;1.0;gini;6;6;random;COMPLETE
3;3;1.0;gini;6;5;best;COMPLETE
4;4;1.0;entropy;21;2;random;COMPLETE
5;5;1.0;gini;110;9;random;COMPLETE
6;6;1.0;gini;3;6;best;COMPLETE
7;7;1.0;entropy;6;6;random;COMPLETE
8;8;1.0;gini;98;10;best;COMPLETE
9;9;1.0;entropy;2;4;random;COMPLETE
10;10;1.0;entropy;27;2;best;COMPLETE
11;11;1.0;entropy;2;9;best;COMPLETE
12;12;1.0;entropy;4;8;best;COMPLETE
13;13;1.0;entropy;12;4;random;COMPLETE
14;14;1.0;entropy;2;8;random;COMPLETE
15;15;1.0;entropy;12;3;best;COMPLETE
16;16;1.0;entropy;4;7;best;COMPLETE
17;17;1.0;entropy;53;10;random;COMPLETE
18;18;1.0;entropy;3;4;best;COMPLETE
19;19;1.0;entropy;10;3;random;COMPLETE
20;20;1.0;entropy;20;7;random;COMPLETE
21;21;1.0;gini;7;5;random;COMPLETE
22;22;1.0;gini;3;7;random;COMPLETE
23;23;1.0;gini;4;5;random;COMPLETE
24;24;1.0;gini;7;8;random;COMPLETE
25;25;1.0;gini;2;3;random;COMPLETE
26;26;1.0;gini;5;6;best;COMPLETE
27;27;1.0;entropy;9;9;random;COMPLETE
28;28;1.0;gini;3;5;best;COMPLETE
29;29;1.0;gini;4;6;best;COMPLETE
30;30;1.0;entropy;5;2;random;COMPLETE
31;31;1.0;gini;22;5;best;COMPLETE
32;32;1.0;gini;8;4;best;COMPLETE
33;33;1.0;gini;15;6;best;COMPLETE
34;34;1.0;gini;5;7;best;COMPLETE
35;35;1.0;gini;3;5;random;COMPLETE
36;36;1.0;gini;6;3;best;COMPLETE
37;37;1.0;entropy;3;2;random;COMPLETE
38;38;1.0;entropy;2;4;best;COMPLETE
39;39;1.0;gini;42;10;best;COMPLETE
40;40;1.0;entropy;6;6;random;COMPLETE
41;41;1.0;entropy;17;2;random;COMPLETE
42;42;1.0;entropy;35;3;random;COMPLETE
43;43;1.0;entropy;90;2;random;COMPLETE
44;44;1.0;entropy;12;8;random;COMPLETE
45;45;1.0;entropy;10;3;best;COMPLETE
46;46;1.0;entropy;28;4;random;COMPLETE
47;47;1.0;entropy;2;9;random;COMPLETE
48;48;1.0;entropy;18;2;best;COMPLETE
49;49;1.0;entropy;13;6;random;COMPLETE
50;50;1.0;gini;23;7;best;COMPLETE
51;51;1.0;gini;85;10;random;COMPLETE
52;52;1.0;gini;4;9;random;COMPLETE
53;53;1.0;gini;64;10;random;COMPLETE
54;54;1.0;gini;68;9;random;COMPLETE
55;55;1.0;entropy;45;10;random;COMPLETE
56;56;1.0;gini;8;8;random;COMPLETE
57;57;1.0;entropy;5;5;random;COMPLETE
58;58;1.0;gini;128;3;best;COMPLETE
59;59;1.0;gini;29;9;random;COMPLETE
60;60;1.0;entropy;10;4;best;COMPLETE
61;61;1.0;gini;3;6;best;COMPLETE
62;62;1.0;gini;4;6;best;COMPLETE
63;63;1.0;gini;2;7;best;COMPLETE
64;64;1.0;gini;3;5;best;COMPLETE
65;65;1.0;gini;6;7;best;COMPLETE
66;66;1.0;gini;15;6;random;COMPLETE
67;67;1.0;entropy;126;5;best;COMPLETE
68;68;1.0;gini;7;3;random;COMPLETE
69;69;1.0;entropy;5;2;best;COMPLETE
70;70;1.0;gini;8;10;random;COMPLETE
71;71;1.0;entropy;6;6;random;COMPLETE
72;72;1.0;entropy;7;6;random;COMPLETE
73;73;1.0;entropy;4;5;random;COMPLETE
74;74;1.0;entropy;9;7;random;COMPLETE
75;75;1.0;entropy;11;4;random;COMPLETE
76;76;1.0;entropy;2;8;best;COMPLETE
77;77;1.0;gini;34;7;random;COMPLETE
78;78;1.0;entropy;3;5;best;COMPLETE
79;79;1.0;gini;4;6;random;COMPLETE
80;80;1.0;entropy;6;2;random;COMPLETE
81;81;1.0;gini;122;10;best;COMPLETE
82;82;1.0;gini;94;10;best;COMPLETE
83;83;1.0;gini;69;9;best;COMPLETE
84;84;1.0;gini;86;10;best;COMPLETE
85;85;1.0;gini;45;3;best;COMPLETE
86;86;1.0;entropy;111;8;random;COMPLETE
87;87;1.0;gini;108;9;best;COMPLETE
88;88;1.0;entropy;77;6;random;COMPLETE
89;89;1.0;gini;5;10;best;COMPLETE
90;90;1.0;entropy;54;7;random;COMPLETE
91;91;1.0;entropy;104;4;random;COMPLETE
92;92;1.0;entropy;20;4;random;COMPLETE
93;93;1.0;entropy;2;3;random;COMPLETE
94;94;1.0;entropy;7;5;random;COMPLETE
95;95;1.0;gini;9;4;random;COMPLETE
96;96;1.0;entropy;13;5;best;COMPLETE
97;97;1.0;gini;24;2;random;COMPLETE
98;98;1.0;entropy;3;6;best;COMPLETE
99;99;1.0;gini;99;6;random;COMPLETE
